Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category,efficiency
J945,M04,Lathe,3.1,33,2.46,97,2023-03-24 21:20:00,2023-03-24 21:53:00,2023-03-24 21:45:00,2023-03-24 22:18:00,Delayed,Low Efficiency,0.09393939393939395
J090,M02,Lathe,2.38,27,12.34,99,2023-03-18 22:50:00,2023-03-18 23:17:00,2023-03-18 23:05:00,2023-03-18 23:32:00,Delayed,Low Efficiency,0.08814814814814814
J991,M02,Milling,3.05,36,6.33,99,2023-03-25 05:00:00,2023-03-25 05:36:00,2023-03-25 04:56:00,2023-03-25 05:32:00,Completed,Low Efficiency,0.08472222222222221
J724,M01,Additive,2.69,32,9.08,97,2023-03-23 08:30:00,2023-03-23 09:02:00,2023-03-23 08:32:00,2023-03-23 09:04:00,Completed,Moderate Efficiency,0.0840625
J010,M01,Drilling,2.1,27,3.66,97,2023-03-18 09:30:00,2023-03-18 09:57:00,2023-03-18 09:54:00,2023-03-18 10:21:00,Delayed,Low Efficiency,0.07777777777777778
J082,M01,Drilling,1.73,24,13.39,98,2023-03-18 21:30:00,2023-03-18 21:54:00,2023-03-18 21:26:00,2023-03-18 21:50:00,Completed,Low Efficiency,0.07208333333333333
J413,M04,Grinding,1.53,22,4.23,98,2023-03-21 04:40:00,2023-03-21 05:02:00,2023-03-21 04:39:00,2023-03-21 05:01:00,Completed,Low Efficiency,0.06954545454545455
J295,M02,Additive,2.46,39,10.97,96,2023-03-20 09:00:00,2023-03-20 09:39:00,2023-03-20 09:04:00,2023-03-20 09:43:00,Completed,Moderate Efficiency,0.06307692307692307
J360,M05,Additive,1.81,29,8.0,97,2023-03-20 19:50:00,2023-03-20 20:19:00,2023-03-20 19:55:00,2023-03-20 20:24:00,Completed,Moderate Efficiency,0.06241379310344828
J026,M01,Additive,1.14,21,3.89,97,2023-03-18 12:10:00,2023-03-18 12:31:00,2023-03-18 12:10:00,2023-03-18 12:31:00,Completed,High Efficiency,0.054285714285714284
J845,M04,Lathe,2.1,40,14.19,97,2023-03-24 04:40:00,2023-03-24 05:20:00,2023-03-24 04:41:00,2023-03-24 05:21:00,Completed,Moderate Efficiency,0.052500000000000005
J684,M03,Grinding,1.46,28,13.43,96,2023-03-23 01:50:00,2023-03-23 02:18:00,2023-03-23 01:46:00,2023-03-23 02:14:00,Completed,Low Efficiency,0.052142857142857144
J388,M05,Milling,1.2,24,11.46,97,2023-03-21 00:30:00,2023-03-21 00:54:00,2023-03-21 00:28:00,2023-03-21 00:52:00,Completed,Low Efficiency,0.049999999999999996
J982,M01,Additive,1.29,27,13.25,96,2023-03-25 03:30:00,2023-03-25 03:57:00,2023-03-25 03:29:00,2023-03-25 03:56:00,Completed,Low Efficiency,0.04777777777777778
J467,M01,Grinding,1.76,37,10.63,97,2023-03-21 13:40:00,2023-03-21 14:17:00,2023-03-21 13:38:00,2023-03-21 14:15:00,Completed,Low Efficiency,0.04756756756756757
J031,M03,Grinding,1.7,37,3.21,96,2023-03-18 13:00:00,2023-03-18 13:37:00,2023-03-18 13:02:00,2023-03-18 13:39:00,Completed,High Efficiency,0.04594594594594594
J555,M02,Additive,1.61,37,12.3,95,2023-03-22 04:20:00,2023-03-22 04:57:00,2023-03-22 04:30:00,2023-03-22 05:07:00,Delayed,Low Efficiency,0.04351351351351351
J283,M01,Additive,1.52,37,9.47,96,2023-03-20 07:00:00,2023-03-20 07:37:00,2023-03-20 06:57:00,2023-03-20 07:34:00,Completed,Low Efficiency,0.041081081081081085
J303,M05,Additive,1.5,38,6.46,96,2023-03-20 10:20:00,2023-03-20 10:58:00,2023-03-20 10:18:00,2023-03-20 10:56:00,Completed,Low Efficiency,0.039473684210526314
J746,M03,Milling,1.14,30,7.66,96,2023-03-23 12:10:00,2023-03-23 12:40:00,2023-03-23 12:13:00,2023-03-23 12:43:00,Completed,High Efficiency,0.038
J477,M01,Drilling,1.23,35,14.52,98,2023-03-21 15:20:00,2023-03-21 15:55:00,2023-03-21 15:15:00,2023-03-21 15:50:00,Completed,Low Efficiency,0.03514285714285714
