Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J736,M05,Grinding,2.13,27,6.99,94,2023-03-23 10:30:00,2023-03-23 10:57:00,2023-03-23 10:29:00,2023-03-23 10:56:00,Completed,Low Efficiency
J310,M04,Grinding,2.35,50,8.24,94,2023-03-20 11:30:00,2023-03-20 12:20:00,2023-03-20 11:29:00,2023-03-20 12:19:00,Completed,Low Efficiency
J669,M03,Additive,3.22,39,5.85,94,2023-03-22 23:20:00,2023-03-22 23:59:00,2023-03-22 23:15:00,2023-03-22 23:54:00,Completed,Low Efficiency
J932,M01,Lathe,3.5,41,8.53,94,2023-03-24 19:10:00,2023-03-24 19:51:00,,,Failed,Low Efficiency
J616,M01,Additive,1.45,45,6.11,93,2023-03-22 14:30:00,2023-03-22 15:15:00,,,Failed,Low Efficiency
J662,M03,Milling,1.73,30,4.05,93,2023-03-22 22:10:00,2023-03-22 22:40:00,2023-03-22 22:32:00,2023-03-22 23:02:00,Delayed,Low Efficiency
J489,M04,Lathe,1.82,37,4.17,93,2023-03-21 17:20:00,2023-03-21 17:57:00,2023-03-21 17:22:00,2023-03-21 17:59:00,Completed,High Efficiency
J585,M05,Lathe,4.47,41,5.15,93,2023-03-22 09:20:00,2023-03-22 10:01:00,,,Failed,Low Efficiency
J741,M01,Drilling,3.46,38,12.99,93,2023-03-23 11:20:00,2023-03-23 11:58:00,,,Failed,Low Efficiency
J630,M05,Additive,4.02,39,6.18,93,2023-03-22 16:50:00,2023-03-22 17:29:00,2023-03-22 17:13:00,2023-03-22 17:52:00,Delayed,Low Efficiency
J367,M05,Drilling,3.64,38,12.38,93,2023-03-20 21:00:00,2023-03-20 21:38:00,2023-03-20 21:02:00,2023-03-20 21:40:00,Completed,Moderate Efficiency
J584,M05,Additive,2.4,32,4.86,93,2023-03-22 09:10:00,2023-03-22 09:42:00,,,Failed,Low Efficiency
J366,M03,Drilling,1.15,47,12.4,92,2023-03-20 20:50:00,2023-03-20 21:37:00,2023-03-20 20:52:00,2023-03-20 21:39:00,Completed,Moderate Efficiency
J370,M04,Milling,4.43,47,14.26,92,2023-03-20 21:30:00,2023-03-20 22:17:00,,,Failed,Low Efficiency
J139,M03,Additive,4.04,45,4.48,92,2023-03-19 07:00:00,2023-03-19 07:45:00,2023-03-19 07:02:00,2023-03-19 07:47:00,Completed,High Efficiency
J804,M03,Milling,3.31,34,3.84,92,2023-03-23 21:50:00,2023-03-23 22:24:00,2023-03-23 21:46:00,2023-03-23 22:20:00,Completed,Low Efficiency
J890,M01,Drilling,2.53,30,13.66,92,2023-03-24 12:10:00,2023-03-24 12:40:00,2023-03-24 12:09:00,2023-03-24 12:39:00,Completed,Low Efficiency
J101,M05,Additive,4.8,37,4.73,92,2023-03-19 00:40:00,2023-03-19 01:17:00,2023-03-19 00:37:00,2023-03-19 01:14:00,Completed,Low Efficiency
J917,M04,Grinding,2.11,40,6.24,92,2023-03-24 16:40:00,2023-03-24 17:20:00,2023-03-24 16:35:00,2023-03-24 17:15:00,Completed,Low Efficiency
J811,M01,Drilling,1.25,29,7.98,92,2023-03-23 23:00:00,2023-03-23 23:29:00,2023-03-23 23:05:00,2023-03-23 23:34:00,Completed,Moderate Efficiency
J758,M04,Drilling,1.9,32,2.32,92,2023-03-23 14:10:00,2023-03-23 14:42:00,2023-03-23 14:15:00,2023-03-23 14:47:00,Completed,High Efficiency
J821,M04,Drilling,4.17,24,8.58,92,2023-03-24 00:40:00,2023-03-24 01:04:00,2023-03-24 00:44:00,2023-03-24 01:08:00,Completed,Moderate Efficiency
J550,M02,Lathe,2.98,31,6.28,92,2023-03-22 03:30:00,2023-03-22 04:01:00,2023-03-22 03:35:00,2023-03-22 04:06:00,Completed,High Efficiency
J974,M05,Additive,2.81,41,14.04,92,2023-03-25 02:10:00,2023-03-25 02:51:00,2023-03-25 02:33:00,2023-03-25 03:14:00,Delayed,Low Efficiency
J495,M01,Drilling,2.42,44,6.16,92,2023-03-21 18:20:00,2023-03-21 19:04:00,2023-03-21 18:20:00,2023-03-21 19:04:00,Completed,High Efficiency
J775,M03,Lathe,4.73,34,3.0,92,2023-03-23 17:00:00,2023-03-23 17:34:00,2023-03-23 17:05:00,2023-03-23 17:39:00,Completed,High Efficiency
J175,M04,Lathe,4.82,40,8.16,92,2023-03-19 13:00:00,2023-03-19 13:40:00,,,Failed,Low Efficiency
J169,M03,Lathe,1.36,23,7.11,92,2023-03-19 12:00:00,2023-03-19 12:23:00,2023-03-19 12:00:00,2023-03-19 12:23:00,Completed,High Efficiency
J777,M02,Additive,1.25,44,12.18,92,2023-03-23 17:20:00,2023-03-23 18:04:00,2023-03-23 17:36:00,2023-03-23 18:20:00,Delayed,Low Efficiency
J254,M05,Milling,1.32,38,14.38,92,2023-03-20 02:10:00,2023-03-20 02:48:00,2023-03-20 02:38:00,2023-03-20 03:16:00,Delayed,Low Efficiency
J324,M05,Lathe,3.12,21,11.65,92,2023-03-20 13:50:00,2023-03-20 14:11:00,2023-03-20 14:05:00,2023-03-20 14:26:00,Delayed,Low Efficiency
J320,M04,Grinding,2.91,39,2.7,92,2023-03-20 13:10:00,2023-03-20 13:49:00,2023-03-20 13:14:00,2023-03-20 13:53:00,Completed,High Efficiency
J497,M01,Drilling,4.94,23,10.07,92,2023-03-21 18:40:00,2023-03-21 19:03:00,2023-03-21 18:41:00,2023-03-21 19:04:00,Completed,Moderate Efficiency
J415,M02,Lathe,1.15,33,7.35,92,2023-03-21 05:00:00,2023-03-21 05:33:00,2023-03-21 05:25:00,2023-03-21 05:58:00,Delayed,Low Efficiency
J240,M02,Grinding,3.88,22,9.51,92,2023-03-19 23:50:00,2023-03-20 00:12:00,,,Failed,Low Efficiency
J300,M04,Additive,3.42,20,6.24,92,2023-03-20 09:50:00,2023-03-20 10:10:00,2023-03-20 09:51:00,2023-03-20 10:11:00,Completed,High Efficiency
J892,M02,Drilling,4.65,43,14.03,91,2023-03-24 12:30:00,2023-03-24 13:13:00,2023-03-24 12:31:00,2023-03-24 13:14:00,Completed,Moderate Efficiency
J913,M05,Additive,2.37,31,12.76,91,2023-03-24 16:00:00,2023-03-24 16:31:00,2023-03-24 15:56:00,2023-03-24 16:27:00,Completed,Low Efficiency
J983,M05,Lathe,2.85,46,14.1,91,2023-03-25 03:40:00,2023-03-25 04:26:00,2023-03-25 03:51:00,2023-03-25 04:37:00,Delayed,Low Efficiency
J905,M03,Lathe,2.79,48,7.14,91,2023-03-24 14:40:00,2023-03-24 15:28:00,2023-03-24 14:42:00,2023-03-24 15:30:00,Completed,High Efficiency
J120,M04,Lathe,1.22,33,5.5,91,2023-03-19 03:50:00,2023-03-19 04:23:00,2023-03-19 03:54:00,2023-03-19 04:27:00,Completed,High Efficiency
J491,M01,Milling,3.67,36,13.87,91,2023-03-21 17:40:00,2023-03-21 18:16:00,2023-03-21 17:40:00,2023-03-21 18:16:00,Completed,Moderate Efficiency
J121,M05,Additive,4.13,39,8.06,91,2023-03-19 04:00:00,2023-03-19 04:39:00,2023-03-19 03:56:00,2023-03-19 04:35:00,Completed,Low Efficiency
J020,M05,Lathe,1.39,42,14.19,91,2023-03-18 11:10:00,2023-03-18 11:52:00,2023-03-18 11:15:00,2023-03-18 11:57:00,Completed,Moderate Efficiency
J548,M04,Additive,2.81,21,5.14,91,2023-03-22 03:10:00,2023-03-22 03:31:00,2023-03-22 03:10:00,2023-03-22 03:31:00,Completed,High Efficiency
J714,M04,Milling,1.5,42,5.4,91,2023-03-23 06:50:00,2023-03-23 07:32:00,2023-03-23 07:14:00,2023-03-23 07:56:00,Delayed,Low Efficiency
J825,M02,Milling,4.86,33,14.0,91,2023-03-24 01:20:00,2023-03-24 01:53:00,,,Failed,Low Efficiency
J215,M02,Milling,4.79,43,6.1,91,2023-03-19 19:40:00,2023-03-19 20:23:00,2023-03-19 19:44:00,2023-03-19 20:27:00,Completed,High Efficiency
J244,M03,Grinding,3.75,42,10.91,91,2023-03-20 00:30:00,2023-03-20 01:12:00,2023-03-20 00:50:00,2023-03-20 01:32:00,Delayed,Low Efficiency
J128,M04,Grinding,3.24,40,10.06,91,2023-03-19 05:10:00,2023-03-19 05:50:00,2023-03-19 05:08:00,2023-03-19 05:48:00,Completed,Low Efficiency
J501,M02,Lathe,1.3,48,6.1,91,2023-03-21 19:20:00,2023-03-21 20:08:00,2023-03-21 19:20:00,2023-03-21 20:08:00,Completed,High Efficiency
J954,M01,Grinding,4.54,39,3.74,91,2023-03-24 22:50:00,2023-03-24 23:29:00,2023-03-24 22:45:00,2023-03-24 23:24:00,Completed,Low Efficiency
J596,M02,Additive,4.69,21,3.03,91,2023-03-22 11:10:00,2023-03-22 11:31:00,2023-03-22 11:14:00,2023-03-22 11:35:00,Completed,High Efficiency
J417,M01,Drilling,4.98,50,6.94,91,2023-03-21 05:20:00,2023-03-21 06:10:00,,,Failed,Low Efficiency
J605,M04,Additive,1.43,25,9.27,91,2023-03-22 12:40:00,2023-03-22 13:05:00,2023-03-22 12:43:00,2023-03-22 13:08:00,Completed,Moderate Efficiency
J624,M03,Additive,1.92,29,14.55,91,2023-03-22 15:50:00,2023-03-22 16:19:00,2023-03-22 15:52:00,2023-03-22 16:21:00,Completed,Moderate Efficiency
J384,M01,Grinding,2.66,50,11.62,91,2023-03-20 23:50:00,2023-03-21 00:40:00,2023-03-20 23:49:00,2023-03-21 00:39:00,Completed,Low Efficiency
J969,M02,Drilling,4.5,32,8.68,91,2023-03-25 01:20:00,2023-03-25 01:52:00,2023-03-25 01:47:00,2023-03-25 02:19:00,Delayed,Low Efficiency
J886,M04,Drilling,3.75,25,9.4,90,2023-03-24 11:30:00,2023-03-24 11:55:00,2023-03-24 11:25:00,2023-03-24 11:50:00,Completed,Low Efficiency
J246,M01,Milling,1.69,40,3.02,90,2023-03-20 00:50:00,2023-03-20 01:30:00,2023-03-20 00:48:00,2023-03-20 01:28:00,Completed,Low Efficiency
J065,M03,Grinding,2.71,23,6.8,90,2023-03-18 18:40:00,2023-03-18 19:03:00,,,Failed,Low Efficiency
J642,M04,Lathe,4.66,43,11.89,90,2023-03-22 18:50:00,2023-03-22 19:33:00,2023-03-22 19:14:00,2023-03-22 19:57:00,Delayed,Low Efficiency
J683,M04,Grinding,2.22,46,6.99,90,2023-03-23 01:40:00,2023-03-23 02:26:00,2023-03-23 01:35:00,2023-03-23 02:21:00,Completed,Low Efficiency
J414,M03,Grinding,3.26,31,2.08,90,2023-03-21 04:50:00,2023-03-21 05:21:00,2023-03-21 05:03:00,2023-03-21 05:34:00,Delayed,Low Efficiency
J537,M02,Lathe,3.05,48,13.96,90,2023-03-22 01:20:00,2023-03-22 02:08:00,2023-03-22 01:15:00,2023-03-22 02:03:00,Completed,Low Efficiency
J535,M02,Drilling,4.9,45,6.96,90,2023-03-22 01:00:00,2023-03-22 01:45:00,2023-03-22 00:56:00,2023-03-22 01:41:00,Completed,Low Efficiency
J471,M01,Lathe,1.72,22,2.3,90,2023-03-21 14:20:00,2023-03-21 14:42:00,2023-03-21 14:25:00,2023-03-21 14:47:00,Completed,High Efficiency
J516,M01,Drilling,4.83,50,4.77,90,2023-03-21 21:50:00,2023-03-21 22:40:00,,,Failed,Low Efficiency
J478,M05,Milling,3.89,34,7.69,90,2023-03-21 15:30:00,2023-03-21 16:04:00,2023-03-21 15:57:00,2023-03-21 16:31:00,Delayed,Low Efficiency
J051,M04,Lathe,4.25,24,7.26,90,2023-03-18 16:20:00,2023-03-18 16:44:00,,,Failed,Low Efficiency
J942,M04,Additive,4.73,20,4.97,90,2023-03-24 20:50:00,2023-03-24 21:10:00,2023-03-24 20:50:00,2023-03-24 21:10:00,Completed,High Efficiency
J946,M01,Lathe,1.94,45,2.43,90,2023-03-24 21:30:00,2023-03-24 22:15:00,2023-03-24 21:27:00,2023-03-24 22:12:00,Completed,Low Efficiency
J944,M02,Additive,4.31,43,6.5,90,2023-03-24 21:10:00,2023-03-24 21:53:00,2023-03-24 21:40:00,2023-03-24 22:23:00,Delayed,Low Efficiency
J542,M03,Drilling,3.57,47,13.17,89,2023-03-22 02:10:00,2023-03-22 02:57:00,2023-03-22 02:12:00,2023-03-22 02:59:00,Completed,Moderate Efficiency
J465,M01,Milling,4.19,28,2.46,89,2023-03-21 13:20:00,2023-03-21 13:48:00,,,Failed,Low Efficiency
J968,M03,Milling,3.55,32,13.1,89,2023-03-25 01:10:00,2023-03-25 01:42:00,2023-03-25 01:15:00,2023-03-25 01:47:00,Completed,Moderate Efficiency
J159,M02,Milling,1.15,46,3.01,89,2023-03-19 10:20:00,2023-03-19 11:06:00,2023-03-19 10:22:00,2023-03-19 11:08:00,Completed,High Efficiency
J798,M03,Milling,3.76,44,10.31,89,2023-03-23 20:50:00,2023-03-23 21:34:00,2023-03-23 20:55:00,2023-03-23 21:39:00,Completed,Moderate Efficiency
J655,M04,Milling,4.76,46,4.61,89,2023-03-22 21:00:00,2023-03-22 21:46:00,2023-03-22 20:59:00,2023-03-22 21:45:00,Completed,Low Efficiency
J545,M05,Lathe,4.19,50,6.67,89,2023-03-22 02:40:00,2023-03-22 03:30:00,2023-03-22 02:39:00,2023-03-22 03:29:00,Completed,Low Efficiency
J433,M04,Milling,1.52,46,9.54,89,2023-03-21 08:00:00,2023-03-21 08:46:00,2023-03-21 07:56:00,2023-03-21 08:42:00,Completed,Low Efficiency
J251,M01,Milling,1.02,21,8.57,89,2023-03-20 01:40:00,2023-03-20 02:01:00,2023-03-20 01:37:00,2023-03-20 01:58:00,Completed,Low Efficiency
J645,M01,Milling,2.32,50,8.42,89,2023-03-22 19:20:00,2023-03-22 20:10:00,2023-03-22 19:33:00,2023-03-22 20:23:00,Delayed,Low Efficiency
J012,M03,Grinding,2.71,28,8.08,88,2023-03-18 09:50:00,2023-03-18 10:18:00,2023-03-18 10:15:00,2023-03-18 10:43:00,Delayed,Low Efficiency
J780,M03,Grinding,2.3,31,14.58,88,2023-03-23 17:50:00,2023-03-23 18:21:00,2023-03-23 18:00:00,2023-03-23 18:31:00,Delayed,Low Efficiency
J866,M01,Grinding,4.32,33,2.47,88,2023-03-24 08:10:00,2023-03-24 08:43:00,2023-03-24 08:07:00,2023-03-24 08:40:00,Completed,Low Efficiency
J561,M04,Milling,1.65,44,8.3,88,2023-03-22 05:20:00,2023-03-22 06:04:00,2023-03-22 05:23:00,2023-03-22 06:07:00,Completed,Moderate Efficiency
J282,M03,Lathe,3.17,30,10.21,88,2023-03-20 06:50:00,2023-03-20 07:20:00,2023-03-20 06:52:00,2023-03-20 07:22:00,Completed,Moderate Efficiency
J371,M01,Lathe,2.29,32,4.38,88,2023-03-20 21:40:00,2023-03-20 22:12:00,2023-03-20 21:39:00,2023-03-20 22:11:00,Completed,Low Efficiency
J515,M03,Lathe,1.54,40,4.16,88,2023-03-21 21:40:00,2023-03-21 22:20:00,2023-03-21 22:07:00,2023-03-21 22:47:00,Delayed,Low Efficiency
J258,M05,Drilling,1.58,28,9.23,88,2023-03-20 02:50:00,2023-03-20 03:18:00,2023-03-20 02:49:00,2023-03-20 03:17:00,Completed,Low Efficiency
